date,rate
2018-04-30,1877.00 
2018-04-29,1876.97 
2018-04-28,1876.94 
2018-04-27,1869.80 
2018-04-26,1859.68 
2018-04-25,1866.79 
2018-04-24,1871.10 
2018-04-23,1872.28 
2018-04-22,1872.25 
2018-04-21,1872.22 
2018-04-20,1877.01 
2018-04-19,1873.08 
2018-04-18,1864.65 
2018-04-17,1864.64 
2018-04-16,1859.17 
2018-04-15,1864.74 
2018-04-14,1864.71 
2018-04-13,1862.08 
2018-04-12,1859.99 
2018-04-11,1860.50 
2018-04-10,1859.17 
2018-04-09,1853.00 
2018-04-08,1852.97 
2018-04-07,1852.95 
2018-04-06,1853.37 
2018-04-05,1844.40 
2018-04-04,1858.78 
2018-04-03,1860.40 
